萬事達 1000
萬視達 1000
萬世達 1000
蓋世達 1000
算是達 1000
還是打 1000
百視達 1000
大同寶寶 1000
萬事 1
事達 1
張豐穎 20 nr
興建 10 nr
鍾興建 20 nr
恩至 10 nr
陳恩至 20 nr
思育 10 nr
洪思育 20 nr
志盛 10 nr
高志盛 20 nr
達興 10 nr
曾達興 20 nr
智宇 10 nr
吳智宇 20 nr
振龍 10 nr
高振龍 20 nr
怡安 10 nr
陳怡安 20 nr
郁茹 10 nr
黃郁茹 20 nr
俊議 10 nr
黃俊議 20 nr
志芳 10 nr
廖志芳 20 nr

嘉祥 10 nr
陳嘉祥 20 nr
珮華 10 nr
黃珮華 20 nr
怡凡 10 nr
張怡凡 20 nr
奕緯 10 nr
呂奕緯 20 nr

劍福 10 nr
李劍福 20 nr
旻樺 10 nr
謝旻樺 20 nr
美樺 10 nr
尚美樺 20 nr
瓊心 10 nr
許瓊心 20 nr
晉育 10 nr
黃晉育 20 nr
lee 10 nr
Fitzlee 20 nr
克祥 10 nr
李克祥 20 nr
俊廷 10 nr
林俊廷 20 nr

智豪 10 nr
潘智豪 20 nr

程輔 10 nr
郭程輔 20 nr

信安 10 nr
陳信安 20 nr
朝揚 10 nr
黃朝揚 20 nr
明財 10 nr
宋明財 20 nr
兆志 10 nr
簡兆志 20 nr
政 10 nr
段政 20 nr
秉融 10 nr
蔡秉融 20 nr
怡慧 10 nr
蔡怡慧 20 nr
奕顯 10 nr
郭奕顯 20 nr

丰营 10 nr
张丰营 20 nr
明蒼 10 nr
蔡明蒼 20 nr
翰宗 10 nr
賴翰宗 20 nr
灝 10 nr
何灝 20 nr
雲翔 10 nr
莊雲翔 20 nr
懷智 10 nr
趙懷智 20 nr

恆源 10 nr
許恆源 20 nr
威豪 10 nr
陳威豪 20 nr
鴻達 10 nr
蕭鴻達 20 nr
鴻裕 處長 10 nr
陳鴻裕 處長 20 nr
鴻裕 10 nr
陳鴻裕 20 nr
陳紅玉 20 nr
陳宏裕 20 nr
浩綸 10 nr
黃浩綸 20 nr
希皓 10 nr
楊希皓 20 nr

慧渝 10 nr
林慧渝 20 nr
卉羽 10 nr
曾卉羽 20 nr

小华 10 nr
陈小华 20 nr
艾芸 10 nr
但艾芸 20 nr
佳樺 10 nr
詹佳樺 20 nr
奕昌 10 nr
賴奕昌 20 nr
承佑 10 nr
蔡承佑 20 nr
德義 10 nr
陳德義 20 nr
俊彥 10 nr
許俊彥 20 nr
國興 10 nr
黃國興 20 nr
佑典 10 nr
洪佑典 20 nr
義彰 10 nr
凃義彰 20 nr
冠皓 10 nr
王冠皓 20 nr
學文 10 nr
王學文 20 nr
培瑜 10 nr
李培瑜 20 nr
敬文 10 nr
秀康 10 nr
王秀康 20 nr
黃敬文 20 nr
泰原 10 nr
洪泰原 20 nr
佳興 10 nr
李佳興 20 nr
佳興 10 nr
楊佳興 20 nr
建隆 10 nr
張建隆 20 nr
仁宏 10 nr
陳仁宏 20 nr
致皓 10 nr
黃致皓 20 nr
芷儀 10 nr
廖芷儀 20 nr
永昇 10 nr
薛永昇 20 nr
妍君 10 nr
郭妍君 20 nr
方嘉 10 nr
謝方嘉 20 nr
志昇 10 nr
陳志昇 20 nr
其昌 10 nr
何其昌 20 nr
國竣 10 nr
洪國竣 20 nr
易琮 10 nr
羅易琮 20 nr
彥名 10 nr
紀彥名 20 nr
子杰 10 nr
劉子杰 20 nr
竹君 10 nr
蕭竹君 20 nr
翔升 10 nr
蔡翔升 20 nr
怡均 10 nr
葉怡均 20 nr
文杰 10 nr
陳文杰 20 nr
揚翔 10 nr
謝揚翔 20 nr
思賢 10 nr
李思賢 20 nr
振宇 10 nr
廖振宇 20 nr
哲夫 10 nr
阮哲夫 20 nr
文登 10 nr
賴文登 20 nr
致瑋 10 nr
林致瑋 20 nr
阳 10 nr
杨阳 20 nr

昱宏 10 nr
陳昱宏 20 nr
瓊修 10 nr
翁瓊修 20 nr
怡君 10 nr
陳怡君 20 nr
婉如 10 nr
簡婉如 20 nr
光雯 10 nr
王光雯 20 nr
凱傑 10 nr
張凱傑 20 nr
維緒 10 nr
鄭維緒 20 nr
紹華 10 nr
鄭紹華 20 nr
方仁 10 nr
李方仁 20 nr
宗佑 10 nr
顏宗佑 20 nr
雅云 10 nr
鄭雅云 20 nr
怡菁 10 nr
莊怡菁 20 nr
姿伶 10 nr
林姿伶 20 nr
家熏 10 nr
劉家熏 20 nr
振豪 10 nr
李振豪 20 nr
晉瑜 10 nr
謝晉瑜 20 nr
永斌 10 nr
陈永斌 20 nr
銘賢 10 nr
林銘賢 20 nr
旭翔 10 nr
白旭翔 20 nr
靖安 10 nr
陳靖安 20 nr
忠義 10 nr
賴忠義 20 nr
振毅 10 nr
李振毅 20 nr
伟苍 10 nr
马伟苍 20 nr
test 10 nr
joetest 20 nr
偉俊 10 nr
曾偉俊 20 nr
秋鈴 10 nr
李秋鈴 20 nr
佳篷 10 nr
秦佳篷 20 nr
宇宸 10 nr
陳宇宸 20 nr
怡璋 10 nr
李怡璋 20 nr
淑雅 10 nr
楊淑雅 20 nr
文濱 10 nr
林文濱 20 nr
于誠 10 nr
林于誠 20 nr
景堯 10 nr
張景堯 20 nr
正龍 10 nr
高正龍 20 nr
錦鴻 10 nr
葉錦鴻 20 nr
孫龍 10 nr
毛孫龍 20 nr

合堂 10 nr
黃合堂 20 nr
佳蓉 10 nr
江佳蓉 20 nr
易歆 10 nr
許易歆 20 nr
秀芥 10 nr
李秀芥 20 nr
敏 10 nr
马敏 20 nr
宴姿 10 nr
曾宴姿 20 nr

紋綺 10 nr
張紋綺 20 nr
婉秦 10 nr
蕭婉秦 20 nr
瑄辰 10 nr
徐瑄辰 20 nr
淑珠 10 nr
許淑珠 20 nr
聆慈 10 nr
連聆慈 20 nr
泰億 10 nr
吳泰億 20 nr
仕凱 10 nr
陳仕凱 20 nr
凱評 10 nr
張凱評 20 nr
東信 10 nr
吳東信 20 nr
明杰 10 nr
陳明杰 20 nr
怡珊 10 nr
陳怡珊 20 nr
湘偉 10 nr
林湘偉 20 nr
嘉玲 10 nr
李嘉玲 20 nr
敏芳 10 nr
劉敏芳 20 nr
廣煇 10 nr
傅廣煇 20 nr
友翔 10 nr
謝友翔 20 nr
耀德 10 nr
曾耀德 20 nr
永昌 10 nr
巫永昌 20 nr
明俊 10 nr
楊明俊 20 nr
汉文 10 nr
冯汉文 20 nr
奇延 10 nr
陳奇延 20 nr
國成 10 nr
趙國成 20 nr
契印 10 nr
陳契印 20 nr
仁泰 10 nr
童仁泰 20 nr
青華 10 nr
余青華 20 nr
永祥 10 nr
林永祥 20 nr

柏璁 10 nr
黃柏璁 20 nr
繡君 10 nr
楊繡君 20 nr
靖夫 10 nr
黃靖夫 20 nr
郁婷 10 nr
黃郁婷 20 nr

怡德 10 nr
蔡怡德 20 nr
琬婷 10 nr
黃琬婷 20 nr
桂生 10 nr
冠宇 10 nr
陳冠宇 20 nr
洺棻 10 nr
黃洺棻 20 nr
貴平 10 nr
吳貴平 20 nr
鳳琳 10 nr
張鳳琳 20 nr
逸民 10 nr
張逸民 20 nr
林桂生 20 nr
智伟 10 nr
刘智伟 20 nr
弘杰 10 nr
曾弘杰 20 nr
立宸 10 nr
徐立宸 20 nr
俊穎 10 nr
程俊穎 20 nr
奎佑 10 nr
郭奎佑 20 nr
琴 10 nr
峰琴 20 nr
家豪 10 nr
李家豪 20 nr
思賢 10 nr
李思賢 20 nr
國彰 10 nr
黃國彰 20 nr
國麟 10 nr
李國麟 20 nr
國瑋 10 nr
王國瑋 20 nr

王志雄 20 nr
莉莉 10 nr
陳莉莉 20 nr
珮茹 10 nr
黃珮茹 20 nr
重逢 10 nr
莊重逢 20 nr
郁翎 10 nr
黃郁翎 20 nr
鳳姿 10 nr
凌鳳姿 20 nr
宗萍 10 nr
郭宗萍 20 nr
韋彤 10 nr
林韋彤 20 nr
安哲 10 nr
劉安哲 20 nr

新月 10 nr
廖新月 20 nr
伶如 10 nr
張伶如 20 nr
彙銘 10 nr
黃彙銘 20 nr
彥博 10 nr
王彥博 20 nr
智偉 10 nr
吳智偉 20 nr
燕燕 10 nr
陆燕燕 20 nr
禹睿 10 nr
陳禹睿 20 nr
永明 10 nr
王永明 20 nr
玉倫 10 nr
徐玉倫 20 nr

秀娟 10 nr
陳秀娟 20 nr
佳霖 10 nr
陳佳霖 20 nr
桂琳 10 nr
張桂琳 20 nr
鳳宜 10 nr
楊鳳宜 20 nr
柔君 10 nr
林柔君 20 nr
力誠 10 nr
歐力誠 20 nr
志宏 10 nr
陳志宏 20 nr
安舜 10 nr
蕭安舜 20 nr
柏宏 10 nr
蔡柏宏 20 nr

展源 10 nr
張展源 20 nr
信鼎 10 nr
郭信鼎 20 nr
其煌 10 nr
林其煌 20 nr
鴻 10 nr
江鴻 20 nr
志宏 10 nr
張志宏 20 nr
建成 10 nr
潘建成 20 nr
福珍 10 nr
張福珍 20 nr
小梅 10 nr
陈小梅 20 nr
美珍 10 nr
蔡美珍 20 nr
民飛 10 nr
蘇民飛 20 nr
智超 10 nr
張智超 20 nr
立德 10 nr
陳立德 20 nr
武睦 10 nr
方武睦 20 nr
岩均 10 nr
蔡岩均 20 nr
明巧 10 nr
甘明巧 20 nr
武穆 10 nr
莊武穆 20 nr
博翔 10 nr
張博翔 20 nr
茂貴 10 nr
李茂貴 20 nr
佐銘 10 nr
王佐銘 20 nr
晓霞 10 nr
钟晓霞 20 nr
世辿 10 nr
陳世辿 20 nr
茂霖 10 nr
簡茂霖 20 nr
沁妍 10 nr
洪沁妍 20 nr
秀月 護理師 10 nr
江秀月 護理師 20 nr
傳鈞 10 nr
傅傳鈞 20 nr
彥鈞 10 nr
王彥鈞 20 nr

乃心 10 nr
許乃心 20 nr
雅琪 10 nr
陳雅琪 20 nr
思詩 10 nr
吳思詩 20 nr
柄德 10 nr
呂柄德 20 nr

文彬 10 nr
黃文彬 20 nr
威翰 10 nr
林威翰 20 nr
秀雯 10 nr
張秀雯 20 nr
媁晴 10 nr
許媁晴 20 nr
品縈 10 nr
李品縈 20 nr
承媛 10 nr
倪承媛 20 nr

建昇 10 nr
林建昇 20 nr
鎮 10 nr
羅鎮 20 nr
明姝 10 nr
伍明姝 20 nr
珮琪 10 nr
張珮琪 20 nr
佩怡 10 nr
卓佩怡 20 nr
沛岑 10 nr
施沛岑 20 nr
興洲 10 nr
陳興洲 20 nr
銘仁 10 nr
莊銘仁 20 nr
俊發 10 nr
李俊發 20 nr
仕玉 10 nr
魏仕玉 20 nr
淳森 10 nr
楊淳森 20 nr
永春 10 nr
葉永春 20 nr
世隆 10 nr
徐世隆 20 nr

品豪 10 nr
吳品豪 20 nr
柏瑞 10 nr
陳柏瑞 20 nr
佩佩 10 nr
陆佩佩 20 nr
婷鈞 10 nr
游婷鈞 20 nr
栢佑 10 nr
朱栢佑 20 nr
柏諭 10 nr
潘柏諭 20 nr

義成 10 nr
江義成 20 nr
人捷 10 nr
鄭人捷 20 nr
宥融 10 nr
陳宥融 20 nr
孟翰 10 nr
林孟翰 20 nr

力庚 10 nr
成力庚 20 nr
晏妃 10 nr
林晏妃 20 nr
丽霞 10 nr
苏丽霞 20 nr
韻如 10 nr
陳韻如 20 nr
彥偉 10 nr
陳彥偉 20 nr
啟助 10 nr
廖啟助 20 nr
烜娟 10 nr
張烜娟 20 nr
頤純 10 nr
陳頤純 20 nr
碧桃 10 nr
洪碧桃 20 nr
婉君 10 nr
廖婉君 20 nr
羽柔 10 nr
楊羽柔 20 nr
貞伊 10 nr
姚貞伊 20 nr
月綺 10 nr
呂月綺 20 nr
智斌 10 nr
施智斌 20 nr
暉 10 nr
曹暉 20 nr
明孝 10 nr
蔡明孝 20 nr
致緯 10 nr
李致緯 20 nr
榮恩 10 nr
余榮恩 20 nr
億榮 10 nr
陳億榮 20 nr
紅杰 10 nr
李紅杰 20 nr

永紅 10 nr
郭永紅 20 nr
儒修 10 nr
郭儒修 20 nr
駿憲 10 nr
許駿憲 20 nr
鴻銘 10 nr
林鴻銘 20 nr
彥勳 10 nr
林彥勳 20 nr
淑媛 10 nr
黃淑媛 20 nr
惠宗 10 nr
江惠宗 20 nr
俊銘 10 nr
邱俊銘 20 nr
思霖 10 nr
李思霖 20 nr
煜誌 10 nr
廖煜誌 20 nr
三椿 10 nr
劉三椿 20 nr
富嵩 10 nr
涂富嵩 20 nr
芝伊 10 nr
陳芝伊 20 nr
秋嬋 10 nr
許秋嬋 20 nr
雪華 10 nr
林雪華 20 nr

肖 10 nr
黄肖 20 nr
錫珉 10 nr
劉錫珉 20 nr
啟碩 10 nr
趙啟碩 20 nr
明雄 10 nr
邱明雄 20 nr
明雄 10 nr
邱明雄 20 nr
淑好 10 nr
李淑好 20 nr
喜陽 10 nr
鄭喜陽 20 nr
侑玎 10 nr
鍾侑玎 20 nr
杏茹 10 nr
簡杏茹 20 nr
勝欽 10 nr
張勝欽 20 nr
勝維 10 nr
古勝維 20 nr
瑄雅 10 nr
黃瑄雅 20 nr
凌鈺 10 nr
蔡凌鈺 20 nr
彥翔 10 nr
黃彥翔 20 nr
琇瑩 10 nr
廖琇瑩 20 nr
子軒 10 nr
曾子軒 20 nr

竹晟 10 nr
陳竹晟 20 nr
昌盛 10 nr
陳昌盛 20 nr
琮欽 10 nr
洪琮欽 20 nr
朝能 10 nr
連朝能 20 nr
思彥 10 nr
莊思彥 20 nr
宜彰 10 nr
鄭宜彰 20 nr
志山 10 nr
叶志山 20 nr

淑娟 10 nr
張淑娟 20 nr
伟 10 nr
任伟 20 nr
淑女 10 nr
吳淑女 20 nr

洪星 10 nr
张洪星 20 nr

益權 10 nr
詹益權 20 nr
煜寰 10 nr
羅煜寰 20 nr
建源 10 nr
陳建源 20 nr
耀陞 10 nr
傅耀陞 20 nr
铁 10 nr
李铁 20 nr
元伟 10 nr
王元伟 20 nr
銘浩 10 nr
巫銘浩 20 nr

中 10 nr
王中 20 nr
綺茹 10 nr
盧綺茹 20 nr
忠婷 10 nr
于忠婷 20 nr
淑蕙 10 nr
賴淑蕙 20 nr
于辰 10 nr
黃于辰 20 nr

哲源 10 nr
劉哲源 20 nr
佳勳 10 nr
張佳勳 20 nr
騰勳 10 nr
楊騰勳 20 nr
德欽 10 nr
陳德欽 20 nr
天助 10 nr
楊天助 20 nr

麒翔 10 nr
陳麒翔 20 nr
義德 10 nr
姜義德 20 nr
相天 10 nr
光相天 20 nr
賢林 10 nr
李賢林 20 nr
景翔 10 nr
張景翔 20 nr
昭逸 10 nr
李昭逸 20 nr
覲棕 10 nr
游覲棕 20 nr

淑賢 10 nr
許淑賢 20 nr

立欽 10 nr
魏立欽 20 nr
加恩 10 nr
翁加恩 20 nr
育貞 10 nr
廖育貞 20 nr
筠 10 nr
戴筠 20 nr
玉婷 10 nr
陳玉婷 20 nr
庭瑾 10 nr
伍庭瑾 20 nr
廷宇 10 nr
黃廷宇 20 nr
婷 10 nr
王婷 20 nr
明賢 10 nr
蔡明賢 20 nr
宗哲 10 nr
蔡宗哲 20 nr

台南客服null 20 nr
鈞崴 10 nr
湯鈞崴 20 nr
钰 10 nr
田钰 20 nr
明昌 10 nr
江明昌 20 nr
育曄 10 nr
蔡育曄 20 nr
峥嵘 10 nr
蔡峥嵘 20 nr
君平 10 nr
彭君平 20 nr
冠緯 10 nr
葉冠緯 20 nr
宏裕 10 nr
張宏裕 20 nr
張紅玉 20 nr
勝裕 10 nr
朱勝裕 20 nr
子豪 10 nr
羅子豪 20 nr
富添 10 nr
溫富添 20 nr
宸豪 10 nr
余宸豪 20 nr
之瑋 10 nr
鄭之瑋 20 nr

敦欽 10 nr
楊敦欽 20 nr

子誠 10 nr
郭子誠 20 nr
鳳如 10 nr
陳鳳如 20 nr
莒武 10 nr
陳莒武 20 nr
幸柔 10 nr
簡幸柔 20 nr
小琪 10 nr
邱小琪 20 nr
秀月 10 nr
邱秀月 20 nr
淑娟 10 nr
洪淑娟 20 nr
慧慈 10 nr
曾慧慈 20 nr
國欽 10 nr
黃國欽 20 nr
咏 10 nr
郑咏 20 nr
依純 10 nr
李依純 20 nr
博文 10 nr
李博文 20 nr
益弘 10 nr
林益弘 20 nr
子修 10 nr
林子修 20 nr

映伊 10 nr
陳映伊 20 nr
靜惠 10 nr
林靜惠 20 nr
逸佳 10 nr
賴逸佳 20 nr

偉峰 10 nr
凌偉峰 20 nr
又誠 10 nr
鄭又誠 20 nr

倩雯 10 nr
郝倩雯 20 nr
楚芸 10 nr
黃楚芸 20 nr
芷雯 10 nr
林芷雯 20 nr
文瑞 10 nr
詹文瑞 20 nr
汶霖 10 nr
蔡汶霖 20 nr
文福 10 nr
潘文福 20 nr
維良 10 nr
蕭維良 20 nr
智偉 10 nr
彭智偉 20 nr
翔 10 nr
王翔 20 nr
志航 10 nr
邱志航 20 nr
宗霖 10 nr
楊宗霖 20 nr
琬茹 10 nr
黃琬茹 20 nr
裕益 10 nr
張裕益 20 nr
雨草 10 nr
洪雨草 20 nr
逸材 10 nr
王逸材 20 nr

維勇 10 nr
劉維勇 20 nr

彥儒 10 nr
吳彥儒 20 nr
亚男 10 nr
黄亚男 20 nr
玉清 10 nr
謝玉清 20 nr
彥宏 10 nr
劉彥宏 20 nr
彥儒 10 nr
蘇彥儒 20 nr
銀豐 10 nr
吳銀豐 20 nr
翊婷 10 nr
黃翊婷 20 nr
羿緯 10 nr
林羿緯 20 nr
怡友 10 nr
黃怡友 20 nr
育鋒 10 nr
林育鋒 20 nr
秀娟 10 nr
高秀娟 20 nr
姿涵 10 nr
廖姿涵 20 nr
運欣 10 nr
張運欣 20 nr
怡芳 10 nr
黃怡芳 20 nr
廷煊 10 nr
翁廷煊 20 nr
正委 10 nr
庞正委 20 nr
宗賢 10 nr
汪宗賢 20 nr
